term,weight,advClass
入骨,2,極其
十二分,2,極其
十分,2,極其
十足,2,極其
已甚,2,極其
已極,2,極其
不可開交,2,極其
不亦樂乎,2,極其
不折不扣,2,極其
不得了,2,極其
不堪,2,極其
之至,2,極其
之極,2,極其
太過,2,極其
充分,2,極其
必要性,2,極其
地地道道,2,極其
有加,2,極其
有夠,2,極其
死,2,極其
百分之百,2,極其
至,2,極其
至極,2,極其
完全,2,極其
完完全全,2,極其
佼佼,2,極其
到底,2,極其
到頭,2,極其
刻骨,2,極其
卓絕,2,極其
奇,2,極其
非常,2,極其
勁爆,2,極其
甚為,2,極其
要死,2,極其
要命,2,極其
郅,2,極其
倍加,2,極其
根本,2,極其
得很,2,極其
異常,2,極其
終極,2,極其
莫大,2,極其
透,2,極其
備至,2,極其
最,2,極其
最為,2,極其
無比,2,極其
無以倫比,2,極其
無以復加,2,極其
無可估量,2,極其
無非,2,極其
無度,2,極其
痛,2,極其
絕,2,極其
絕頂,2,極其
絕對,2,極其
絕對化,2,極其
極,2,極其
極了,2,極其
極其,2,極其
極度,2,極其
極為,2,極其
極致,2,極其
極端,2,極其
極點,2,極其
滔天,2,極其
煞,2,極其
煞是,2,極其
萬,2,極其
萬分,2,極其
萬般,2,極其
萬萬,2,極其
賊,2,極其
逾常,2,極其
過份,2,極其
徹頭徹尾,2,極其
截然,2,極其
滿心,2,極其
滿貫,2,極其
盡,2,極其
盡情,2,極其
綦,2,極其
酷,2,極其
壞,2,極其
攏,2,極其
齁,2,極其
驚人地,2,極其
一大半,1.5,超
大半,1.5,超
不下,1.5,超
不只,1.5,超
不只是,1.5,超
不為過,1.5,超
不僅是,1.5,超
之上,1.5,超
以上,1.5,超
以外,1.5,超
出,1.5,超
出頭,1.5,超
好幾,1.5,超
何止,1.5,超
何啻,1.5,超
忒,1.5,超
突破,1.5,超
苦,1.5,超
浮,1.5,超
偏,1.5,超
強,1.5,超
超,1.5,超
超級,1.5,超
超過,1.5,超
超額,1.5,超
開外,1.5,超
溢,1.5,超
過,1.5,超
過了頭,1.5,超
過分,1.5,超
過火,1.5,超
過半,1.5,超
過半數,1.5,超
過於,1.5,超
過勁,1.5,超
過度,1.5,超
過甚,1.5,超
過猛,1.5,超
過逾,1.5,超
過熱,1.5,超
過頭,1.5,超
一口氣,1.5,總是
一天到晚,1.5,總是
一再,1.5,總是
一向,1.5,總是
一年到頭,1.5,總是
一而再,1.5,總是
一直,1.5,總是
一陣,1.5,總是
一連,1.5,總是
一連串,1.5,總是
一鼓作氣,1.5,總是
又,1.5,總是
不已,1.5,總是
不休,1.5,總是
不住,1.5,總是
不息,1.5,總是
不停,1.5,總是
不絕,1.5,總是
不輟,1.5,總是
不斷,1.5,總是
反反覆覆,1.5,總是
古今中外,1.5,總是
生生不息,1.5,總是
再,1.5,總是
再一次,1.5,總是
再三,1.5,總是
再次,1.5,總是
再行,1.5,總是
再度,1.5,總是
向,1.5,總是
向來,1.5,總是
老是,1.5,總是
每每,1.5,總是
沒完,1.5,總是
沒完沒了,1.5,總是
直,1.5,總是
長此以往,1.5,總是
相連,1.5,總是
