ID,歌名,創作人,分類,發佈時間,情緒詞彙數,斷詞數,樂,好,怒,哀,懼,惡,驚,正面情緒值,負面情緒值,正負面情緒值,詞均樂,詞均好,詞均怒,詞均哀,詞均懼,詞均惡,詞均驚,詞均正面情緒值,詞均負面情緒值,詞均正負面情緒值
StreetVoice0001,夜空中最亮的星,escape plan逃跑计划,Rock,2013-06-26,25,142,0,44.0,0,16.0,0,36.0,0,44.0,52.0,-8.0,0.0,0.30985915492957744,0.0,0.11267605633802817,0.0,0.2535211267605634,0.0,0.30985915492957744,0.36619718309859156,-0.056338028169014086
StreetVoice0002,披星戴月的想你 demo,告五人 Accusefive,Pop,2015-12-28,16,218,5.0,5.0,0,8.4,2.4000000000000004,28.0,0,10.0,38.8,-28.799999999999997,0.022935779816513763,0.022935779816513763,0.0,0.03853211009174312,0.011009174311926608,0.12844036697247707,0.0,0.045871559633027525,0.17798165137614677,-0.13211009174311925
StreetVoice0003,我還年輕 我還年輕,老王樂隊,Folk,2017-08-20,23,349,10.0,0,0,-10.0,0,4.0,0,10.0,-6.0,16.0,0.02865329512893983,0.0,0.0,-0.02865329512893983,0.0,0.011461318051575931,0.0,0.02865329512893983,-0.017191977077363897,0.045845272206303724
StreetVoice0004,我把我的青春給你─釋放 Demo,好樂團 GoodBand,Pop,2015-10-31,53,177,30.0,25.0,0,0,0,11.0,0,55.0,11.0,44.0,0.1694915254237288,0.14124293785310735,0.0,0.0,0.0,0.062146892655367235,0.0,0.3107344632768362,0.062146892655367235,0.24858757062146894
StreetVoice0005,愛在夏天 正式上線版,告五人 Accusefive,Pop,2016-02-23,7,101,5.0,5.0,0,-3.0,0,7.0,0,10.0,4.0,6.0,0.04950495049504951,0.04950495049504951,0.0,-0.0297029702970297,0.0,0.06930693069306931,0.0,0.09900990099009901,0.039603960396039604,0.0594059405940594
StreetVoice0006,花,Hello Nico,Alternative,2014-06-29,15,141,0,34.0,0,0,0,23.5,0,34.0,23.5,10.5,0.0,0.24113475177304963,0.0,0.0,0.0,0.16666666666666666,0.0,0.24113475177304963,0.16666666666666666,0.07446808510638298
StreetVoice0007,在這座城市遺失了妳 demo,告五人 Accusefive,Pop,2016-01-11,21,115,-3.0,28.5,-3.0,15.5,-1.5,22.0,0,25.5,33.0,-7.5,-0.02608695652173913,0.24782608695652175,-0.02608695652173913,0.13478260869565217,-0.013043478260869565,0.19130434782608696,0.0,0.2217391304347826,0.28695652173913044,-0.06521739130434782
StreetVoice0008,被你遺忘的森林,原子邦妮 Astro Bunny,Electronic,2015-02-12,10,86,5.0,13.0,0,9.0,0,-4.0,0,18.0,5.0,13.0,0.05813953488372093,0.1511627906976744,0.0,0.10465116279069768,0.0,-0.046511627906976744,0.0,0.20930232558139536,0.05813953488372093,0.1511627906976744
StreetVoice0009,我們一樣可惜 Demo,好樂團 GoodBand,Pop,2017-01-17,36,160,11.4,28.1,0,36.5,0,20.0,0,39.5,56.5,-17.0,0.07125000000000001,0.175625,0.0,0.228125,0.0,0.125,0.0,0.246875,0.353125,-0.10625
StreetVoice0010,接下來如何,Hello Nico,Pop,2015-02-01,29,187,5.52,30.0,0,20.0,0,23.5,0,35.519999999999996,43.5,-7.980000000000004,0.029518716577540103,0.16042780748663102,0.0,0.10695187165775401,0.0,0.12566844919786097,0.0,0.1899465240641711,0.232620320855615,-0.04267379679144387
StreetVoice0011,以後,郭真榕 Candle Kuo,Singer / Songwriter,2017-03-24,39,186,20.0,33.5,0,20.25,4.0,20.75,0,53.5,45.0,8.5,0.10752688172043011,0.18010752688172044,0.0,0.10887096774193548,0.021505376344086023,0.11155913978494623,0.0,0.28763440860215056,0.24193548387096775,0.0456989247311828
StreetVoice0012,行星,理想混蛋 Bestards,Pop,2018-03-21,32,208,-10.0,9.599999999999998,0,10.0,0,3.0,0,-0.40000000000000213,13.0,-13.400000000000002,-0.04807692307692308,0.04615384615384614,0.0,0.04807692307692308,0.0,0.014423076923076924,0.0,-0.0019230769230769334,0.0625,-0.06442307692307693
StreetVoice0013,菸癮(Demo),Who Cares 胡凱兒,Alternative,2017-04-07,22,127,7.5,5.0,0,18.0,0,29.5,0,12.5,47.5,-35.0,0.05905511811023622,0.03937007874015748,0.0,0.14173228346456693,0.0,0.23228346456692914,0.0,0.0984251968503937,0.37401574803149606,-0.2755905511811024
StreetVoice0015,降雨機率 Rain Onto the One  ◤ 首張專輯Dear全曲試聽 ◢,甜約翰 Sweet John,Alternative,2017-11-22,38,158,12.0,40.0,0,17.0,0,59.4,5.6000000000000005,57.6,76.4,-18.800000000000004,0.0759493670886076,0.25316455696202533,0.0,0.10759493670886076,0.0,0.3759493670886076,0.035443037974683546,0.36455696202531646,0.4835443037974684,-0.11898734177215192
StreetVoice0017,大風吹[demo],草東沒有派對,Pop,2015-07-07,13,110,0,18.0,6.0,11.25,0,48.0,0,18.0,65.25,-47.25,0.0,0.16363636363636364,0.05454545454545454,0.10227272727272728,0.0,0.43636363636363634,0.0,0.16363636363636364,0.5931818181818181,-0.42954545454545456
StreetVoice0018,為我留的光 Demo ,Control T,Folk,2016-09-14,33,212,0,45.125,0,13.0,0,24.799999999999997,0,45.125,37.8,7.325000000000003,0.0,0.21285377358490565,0.0,0.06132075471698113,0.0,0.11698113207547169,0.0,0.21285377358490565,0.17830188679245282,0.03455188679245284
StreetVoice0019,海上的人 demo,吳青原,Singer / Songwriter,2017-12-24,15,85,0,20.8,0,7.5,0,3.0,0,20.8,10.5,10.3,0.0,0.2447058823529412,0.0,0.08823529411764706,0.0,0.03529411764705882,0.0,0.2447058823529412,0.12352941176470589,0.1211764705882353
StreetVoice0020,「致姗姗来迟的你 feat. YOGA」,阿肆,Singer / Songwriter,2016-10-03,18,153,0,41.0,0,4.0,0,4.0,5.0,46.0,8.0,38.0,0.0,0.2679738562091503,0.0,0.026143790849673203,0.0,0.026143790849673203,0.032679738562091505,0.3006535947712418,0.05228758169934641,0.24836601307189543
StreetVoice0021,莫宰羊 - 魚,BMK/BackMount Krew,Hip hop / Rap,2017-08-11,22,171,0,-5.0,0,0,0,27.5625,0,-5.0,27.5625,-32.5625,0.0,-0.029239766081871343,0.0,0.0,0.0,0.1611842105263158,0.0,-0.029239766081871343,0.1611842105263158,-0.19042397660818713
StreetVoice0022,我愛你，卻不能拯救你 Demo,好樂團 GoodBand,Pop,2017-11-21,30,151,12.0,6.0,0,21.0,0,31.0,0,18.0,52.0,-34.0,0.07947019867549669,0.039735099337748346,0.0,0.1390728476821192,0.0,0.2052980132450331,0.0,0.11920529801324503,0.3443708609271523,-0.2251655629139073
StreetVoice0023,與浪之間 Waves,Vast&Hazy,Pop,2016-12-20,7,79,0,22.5,0,0,0,7.0,0,22.5,7.0,15.5,0.0,0.2848101265822785,0.0,0.0,0.0,0.08860759493670886,0.0,0.2848101265822785,0.08860759493670886,0.1962025316455696
StreetVoice0024,如果世界上沒有了孤獨 demo ,郭子恆Jemmy,Pop,2017-06-22,30,299,15.0,0,0,-5.625,3.0,0,0,15.0,-2.625,17.625,0.05016722408026756,0.0,0.0,-0.018812709030100336,0.010033444816053512,0.0,0.0,0.05016722408026756,-0.008779264214046822,0.058946488294314384
StreetVoice0025,你要不要吃哈密瓜 demo,告五人 Accusefive,Electronic,2017-03-26,12,67,0,21.5,0,0,0,5.0,0,21.5,5.0,16.5,0.0,0.3208955223880597,0.0,0.0,0.0,0.07462686567164178,0.0,0.3208955223880597,0.07462686567164178,0.2462686567164179
StreetVoice0026,誰,李友廷,Pop,2015-05-24,14,108,1.0,27.5,0,0,3.0,5.3999999999999995,0,28.5,8.399999999999999,20.1,0.009259259259259259,0.25462962962962965,0.0,0.0,0.027777777777777776,0.049999999999999996,0.0,0.2638888888888889,0.07777777777777777,0.18611111111111112
